Country,Year,Gross demand,Gross production,Final consumption
Bosnia and Herzegovina,1997,6669.0,8765.0,4868.0
Bosnia and Herzegovina,1996,5697.0,7340.0,4132.0
Bosnia and Herzegovina,1995,4448.0,4401.0,3605.0
Bosnia and Herzegovina,1994,4251.0,4244.0,3443.0
Bosnia and Herzegovina,1993,3495.0,3327.0,2832.0
Bosnia and Herzegovina,1992,4916.0,6525.0,3836.0
Brunei Darussalam,2021,5574.806,5699.771,4796.914
Brunei Darussalam,2020,5600.637,5735.895,4731.62
Brunei Darussalam,2019,4799.316,4932.791,3906.135
Brunei Darussalam,2018,4164.79,4293.55,3284.497
Brunei Darussalam,2017,4021.0,4157.0,3112.0
Brunei Darussalam,2016,3891.0,4270.0,3227.0
Brunei Darussalam,2015,3780.0,4200.0,3391.0
Brunei Darussalam,2014,4055.0,4506.0,3357.0
Brunei Darussalam,2013,3962.0,4402.0,3155.0
Brunei Darussalam,2012,3851.0,3930.0,3208.0
Brunei Darussalam,2011,3657.0,3725.0,3064.0
Brunei Darussalam,2010,3633.0,3792.0,2914.0
Brunei Darussalam,2009,3461.0,3612.0,2871.0
Brunei Darussalam,2008,3309.0,3423.0,2784.0
Brunei Darussalam,2007,3280.0,3395.0,2748.0
Brunei Darussalam,2006,3232.0,3298.0,3002.0
Brunei Darussalam,2005,3199.0,3264.0,3069.0
Brunei Darussalam,2004,3264.0,3264.0,3050.0
Brunei Darussalam,2003,3191.0,3191.0,2713.0
Brunei Darussalam,2002,2701.0,2701.0,2644.0
Brunei Darussalam,2001,2579.0,2579.0,2540.0
Brunei Darussalam,2000,2543.0,2543.0,2519.0
Brunei Darussalam,1999,2434.0,2434.0,2419.0
Brunei Darussalam,1998,2504.0,2504.0,2717.0
Cameroon,2021,7707.925,7939.742,6072.561
Cameroon,2020,8455.865,8650.329,6616.04
Cameroon,2019,8288.972,8483.361,6488.337
Cameroon,2018,8387.703,8589.594,6569.586
Cameroon,2017,7912.224,8088.175,6186.085
Cameroon,2016,7370.0,7535.0,5763.0
Cameroon,2015,7770.0,7985.0,6107.0
Cameroon,2014,7596.0,6927.0,5483.0
Cameroon,2013,7087.0,6385.0,5208.0
Cameroon,2012,6572.0,5488.0,4970.0
Cameroon,2011,5871.0,5924.0,4770.0
Cameroon,2010,5443.0,5900.0,4863.0
Cameroon,2009,5202.0,5784.0,4662.0
Cameroon,2008,5197.0,5681.0,4659.0
Cameroon,2007,4707.0,5243.0,4217.0
Cameroon,2006,4866.0,5106.0,4237.0
Cameroon,2005,4004.0,4004.0,3306.0
Cameroon,2004,4110.0,4110.0,3320.0
Cameroon,2003,3684.0,3684.0,2807.0
Cameroon,2002,3300.0,3300.0,2537.0
Cameroon,2001,3541.0,3541.0,2632.0
Cameroon,2000,3480.0,3480.0,2719.0
Cameroon,1999,3376.0,3376.0,2681.0
Cameroon,1998,3168.0,3168.0,2539.0
Cameroon,1997,3115.0,3128.0,2860.0
Canada,2021,577684.0,642974.0,524632.0
Canada,2020,575879.0,651458.0,518135.0
Canada,2019,586954.0,652776.0,528841.0
Canada,2018,591946.0,659061.0,528163.0
Canada,2017,582305.0,663262.0,515748.0
Canada,2016,582712.0,666045.0,496299.0
Canada,2015,578922.0,657949.0,501109.0
Canada,2014,593471.0,658705.0,502013.0
Canada,2013,586259.0,657645.0,494364.0
Canada,2012,566392.0,632108.0,481325.0
Canada,2011,577345.0,633380.0,486904.0
Canada,2010,558921.0,603042.0,477929.0
Canada,2009,556443.0,608565.0,473107.0
Canada,2008,581422.0,633192.0,485543.0
Canada,2007,577372.0,628045.0,489052.0
Canada,2006,572581.0,610383.0,477948.0
Canada,2005,577817.0,621157.0,488560.0
Canada,2004,569828.0,600341.0,461157.0
Canada,2003,563894.0,590044.0,461821.0
Canada,2002,562294.0,601738.0,452598.0
Canada,2001,547633.0,590383.0,434920.0
Canada,2000,551276.0,606217.0,430912.0
Canada,1999,532468.0,579614.0,465901.0
Canada,1998,517117.0,562385.0,455978.0
Canada,1997,520981.0,574282.0,458876.0
Canada,1996,519178.0,574021.0,453072.0
Canada,1995,507449.0,560848.0,446666.0
Canada,1994,495137.0,556387.0,437418.0
Canada,1993,489182.0,532882.0,431741.0
Canada,1992,479913.0,521016.0,422887.0
Canada,1991,474959.0,509072.0,421996.0
Canada,1990,467577.0,482571.0,418041.0
Cayman Islands,2022,697.894,697.894,691.0
Cayman Islands,2021,678.423,678.423,676.892
Cayman Islands,2020,667.662265485637,667.662265485637,665.101487871251
Cayman Islands,2019,695.64,695.64,689.0
Cayman Islands,2018,657.72,657.72,649.0
Cayman Islands,2017,670.53,670.53,642.0
Cayman Islands,2016,666.41,666.41,627.0
Cayman Islands,2015,639.86,639.86,601.0
Cayman Islands,2014,620.74,620.74,584.0
Cayman Islands,2013,615.0,615.0,575.0
Cayman Islands,2012,607.0,607.0,567.5
Cayman Islands,2011,606.5,606.5,553.8
Cayman Islands,2010,605.1,605.1,552.4
Cayman Islands,2009,608.8,608.8,559.8
Cayman Islands,2008,596.8,596.8,548.0
Cayman Islands,2007,584.4,584.4,534.8
Cayman Islands,2006,535.7,535.7,492.2
Cayman Islands,2005,463.2,463.2,427.7
Cayman Islands,2004,433.4,433.4,379.5
Cayman Islands,2003,489.7,489.7,444.0
Cayman Islands,2002,466.1,466.1,425.0
Cayman Islands,2001,449.3,449.3,408.0
Cayman Islands,2000,426.5,426.5,386.0
Cayman Islands,1999,390.4,390.4,363.0
Cayman Islands,1998,381.1,381.1,343.0
Cayman Islands,1997,347.8,347.8,312.0
Cayman Islands,1996,309.7,309.7,282.0
Cayman Islands,1995,297.0,297.0,269.0
Cayman Islands,1994,284.0,284.0,252.0
Cayman Islands,1993,263.0,263.0,230.0
Cayman Islands,1992,243.0,243.0,217.0
Cayman Islands,1991,234.0,234.0,208.0
Cayman Islands,1990,225.0,225.0,203.0
Chile,2021,86109.356,88018.877,76320.468
Chile,2020,81600.425,83993.528,74514.346
Chile,2019,82100.15,84558.255,74096.806
Chile,2018,79907.797,82339.01,73033.879
Chile,2017,77014.3,79443.209,69623.621
Chile,2016,76478.0,79335.0,70171.0
